route_id,agency_id,route_short_name,route_long_name,route_type
20,236037, Bistriţa Bârgăului hcv. - Susenii Bârgăului Hm., Bistriţa Bârgăului hcv. - Bistriţa Bârgăului h. - Bistriţa Bârgăului Sat hc. - Prundul Bârgaului hc. - Susenii Bârgăului Hm.,2
21,236037, Bistriţa Nord - Susenii Bârgăului Hm., Bistriţa Nord - Bistriţa h. - Livezile Bârgăului hc. - Rusul Bârgăului hc. - Josenii Bârgăului hc. - Mijlocenii Bârgăului h. - Susenii Bârgăului Hm.,2
22,236037, Marghita - Suplacu de Barcău, Marghita - Horea h. - Chiribiş hc. - Abrami h. - Marginea Bihor h. - Sădălbagiu hc. - Balc hc. - Suplacu de Barcău,2
23,236037, Oradea - Şimleu Silvaniei, Oradea - Episcopia Bihor - Biharia Hm. - Tămăşeu h. - Roşiori Bihor h. - Diosig Hm. - Cadia h. - Săcuieni Bihor h. - Târguşor Bihor h. - Bolcaş hc. - Făncica h. - Abrămuţ hc. - Petreu hc. - Marghita - Chiribiş hc. - Abrami h. - Marginea Bihor h. - Sădălbagiu hc. - Balc hc. - Suplacu de Barcău - Porţi hc. - Ipu h. - Nuşfalău h. - Măgura Şimleului hc. - Şimleu Silvaniei,2
24,236037, Bistriţa Nord - Bistriţa Bârgăului hcv., Bistriţa Nord - Bistriţa h. - Livezile Bârgăului hc. - Rusul Bârgăului hc. - Josenii Bârgăului hc. - Mijlocenii Bârgăului h. - Susenii Bârgăului Hm. - Prundul Bârgaului hc. - Bistriţa Bârgăului Sat hc. - Bistriţa Bârgăului h. - Bistriţa Bârgăului hcv.,2
25,236037, Cluj Napoca - Stana Hm., Cluj Napoca - Suceag h. - Rădaia h. - Mera Hm. - Nădăşel h. - Gârbău Hm. - Macău h. - Dorolţu h. - Aghireş - Aghireş h. - Stana Hm.,2
26,236037, Holod - Salonta, Holod - Dumbrava Bihor h. - Râpa hc. - Tinca Hm. - Tăut h. - Batăr h. - Glad h. - Ciumeghiu Hm. - Salonta,2
27,236037, Sărmăşag - Oradea, Sărmăşag - Giurtelec hc. - Uilacu Şimleului hc. - Şimleu Silvaniei - Măgura Şimleului hc. - Nuşfalău h. - Ipu h. - Porţi hc. - Suplacu de Barcău - Balc hc. - Sădălbagiu hc. - Marginea Bihor h. - Abrami h. - Chiribiş hc. - Marghita - Petreu hc. - Abrămuţ hc. - Făncica h. - Bolcaş hc. - Târguşor Bihor h. - Săcuieni Bihor h. - Cadia h. - Diosig Hm. - Roşiori Bihor h. - Tămăşeu h. - Biharia Hm. - Episcopia Bihor - Oradea,2
28,236037, Oradea - Valea lui Mihai, Oradea - Episcopia Bihor - Biharia Hm. - Tămăşeu h. - Roşiori Bihor h. - Diosig Hm. - Cadia h. - Săcuieni Bihor - Şilindru Hm. - Simion h. - Valea lui Mihai,2
29,236037, Salonta - Tinca Hm., Salonta - Ciumeghiu Hm. - Glad h. - Batăr h. - Tăut h. - Tinca Hm.,2
